N   1,6,5473.87,6010.43,6546.63,7082.48,7617.99,8153.15,,,,,,,,,,,,
N   2,6,4275.16,4290.45,4295.56,4297.27,4297.84,4298.03,,,,,,,,,,,,
N   3,6,3622.41,3657.56,3670.27,3674.86,3676.52,3677.12,,,,,,,,,,,,
N   4,6,4795.99,4830.29,4837.46,4838.95,4839.27,4839.33,,,,,,,,,,,,
N   5,6,5425.01,5427.97,5428.39,5428.44,5428.45,5428.45,,,,,,,,,,,,
N   6,6,4216.48,4360.47,4502.49,4642.56,4780.73,4917,,,,,,,,,,,,
N   7,6,5099.27,5099.27,5099.27,5099.27,5099.27,5099.27,,,,,,,,,,,,
N   8,6,10348.28,12931.97,15513.97,18094.29,20672.92,23249.88,,,,,,,,,,,,
N   9,6,5344.44,5396.2,5407.02,5409.28,5409.75,5409.85,,,,,,,,,,,,
N  10,6,9950.38,10334.23,10703.33,11058.25,11399.54,11727.72,,,,,,,,,,,,
N  11,6,5785.78,6779.24,7772.05,8764.21,9755.73,10746.59,,,,,,,,,,,,
N  12,6,5581.57,6318.62,7055.18,7791.26,8526.87,9261.99,,,,,,,,,,,,
N  13,6,6388.32,6783.01,7153.54,7501.39,7827.96,8134.54,,,,,,,,,,,,
N  14,6,4925.67,5441.99,5694.44,5817.87,5878.21,5907.72,,,,,,,,,,,,
N  15,6,5819.07,6348.28,6877.14,7405.65,7933.82,8461.64,,,,,,,,,,,,
N  16,6,6088.01,6253.02,6415.88,6576.63,6735.28,6891.86,,,,,,,,,,,,
N  17,6,5909.66,5865.14,5834.79,5814.1,5800,5790.39,,,,,,,,,,,,
N  18,6,8066.43,8364.81,8662.81,8960.42,9257.64,9554.47,,,,,,,,,,,,
N  19,6,5801.19,5881.72,5955.74,6023.8,6086.35,6143.86,,,,,,,,,,,,
N  20,6,10849.09,11764.6,12650.3,13507.18,14336.16,15138.16,,,,,,,,,,,,
N  21,6,9388.24,9703.73,9992.73,10257.45,10499.94,10722.07,,,,,,,,,,,,
N  22,6,6507.39,8012.3,9516.23,11019.18,12521.15,14022.13,,,,,,,,,,,,
N  23,6,3330.22,3324.88,3323.87,3323.67,3323.64,3323.63,,,,,,,,,,,,
N  24,6,6430.3,6868.41,7279.98,7666.64,8029.89,8371.14,,,,,,,,,,,,
N  25,6,5425.18,5986.46,6547.36,7107.91,7668.08,8227.89,,,,,,,,,,,,
N  26,6,10131.63,11615.89,12989.98,14262.09,15439.79,16530.08,,,,,,,,,,,,
N  27,6,3593.03,4021.89,4450.47,4878.76,5306.78,5734.52,,,,,,,,,,,,
N  28,6,12371.29,14071.7,15771,17469.2,19166.28,20862.26,,,,,,,,,,,,
N  29,6,3881.33,2188.85,920.6,0,0,0,,,,,,,,,,,,
N  30,6,5735.12,5961.36,6179.36,6389.42,6591.81,6786.82,,,,,,,,,,,,
N  31,6,7200.21,7788.85,8369.45,8942.11,9506.94,10064.05,,,,,,,,,,,,
N  32,6,6188.8,6997.28,7805.23,8612.65,9419.55,10225.92,,,,,,,,,,,,
N  33,6,4463.25,4651.24,4723.69,4751.62,4762.38,4766.53,,,,,,,,,,,,
N  34,6,8154.67,8284.73,8336.13,8356.44,8364.47,8367.64,,,,,,,,,,,,
N  35,6,3622.41,3657.56,3670.27,3674.86,3676.52,3677.12,,,,,,,,,,,,
N  36,6,3499.68,3981.96,4463.92,4945.57,5426.91,5907.93,,,,,,,,,,,,
N  37,6,1372.13,1587.37,1802.48,2017.44,2232.26,2446.94,,,,,,,,,,,,
N  38,6,8621.39,9481.25,10340.54,11199.27,12057.45,12915.06,,,,,,,,,,,,
N  39,6,3509.78,3854.51,4198.34,4541.28,4883.33,5224.48,,,,,,,,,,,,
N  40,6,2801.84,3325.47,3848.77,4371.72,4894.33,5416.6,,,,,,,,,,,,
N  41,6,5653.03,6217.61,6781.81,7345.64,7909.11,8472.21,,,,,,,,,,,,
N  42,6,4315.76,4858.59,5401.06,5943.19,6484.95,7026.37,,,,,,,,,,,,
N  43,6,8533.19,9419.3,10304.83,11189.79,12074.17,12957.97,,,,,,,,,,,,
N  44,6,4898.2,5033.42,5152.61,5257.68,5350.3,5431.95,,,,,,,,,,,,
N  45,6,5451.94,5725.64,5957.1,6152.86,6318.4,6458.41,,,,,,,,,,,,
N  46,6,5737.98,6350.43,6962.49,7574.15,8185.4,8796.26,,,,,,,,,,,,
N  47,6,4224.24,4224.24,4224.24,4224.24,4224.24,4224.24,,,,,,,,,,,,
N  48,6,4894.93,5669.96,6444.49,7218.51,7992.03,8765.04,,,,,,,,,,,,
N  49,6,6438.16,8223.3,10007.28,11790.1,13571.75,15352.25,,,,,,,,,,,,
N  50,6,5456.02,5530.31,5555.32,5563.73,5566.57,5567.52,,,,,,,,,,,,
N  51,6,5122.04,5122.04,5122.04,5122.04,5122.04,5122.04,,,,,,,,,,,,
N  52,6,6397.42,6780.49,7117.17,7413.08,7673.16,7901.74,,,,,,,,,,,,
N  53,6,8373.14,9121.75,9869.88,10617.52,11364.68,12111.35,,,,,,,,,,,,
N  54,6,6014.67,6014.74,6014.76,6014.77,6014.77,6014.77,,,,,,,,,,,,
N  55,6,3294.07,3400.38,3461.21,3496.03,3515.95,3527.35,,,,,,,,,,,,
N  56,6,5803.94,6035.62,6161.57,6230.04,6267.26,6287.49,,,,,,,,,,,,
N  57,6,4028.95,4359.17,4689.18,5018.98,5348.56,5677.93,,,,,,,,,,,,
N  58,6,4500.47,4691.04,4877.03,5058.54,5235.67,5408.54,,,,,,,,,,,,
N  59,6,4628.32,4602.81,4593.75,4590.54,4589.4,4589,,,,,,,,,,,,
N  60,6,6611.4,6625.72,6630.2,6631.61,6632.05,6632.18,,,,,,,,,,,,
N  61,6,8504.11,8972.86,9435.52,9892.14,10342.83,10787.64,,,,,,,,,,,,
N  62,6,7058.22,7802.98,8538.03,9263.52,9979.55,10686.27,,,,,,,,,,,,
N  63,6,5715.9,6241.74,6767.24,7292.4,7817.21,8341.68,,,,,,,,,,,,
N  64,6,2769.85,3039.72,3309.41,3578.93,3848.28,4117.45,,,,,,,,,,,,
N  65,6,5278.7,5730.48,6181.37,6631.39,7080.52,7528.78,,,,,,,,,,,,
N  66,6,6855.6,7603,8243.34,8791.97,9262.02,9664.74,,,,,,,,,,,,
