N   1,6,4852.81,5107.47,5367.29,5632.25,5902.37,6177.64,,,,,,,,,,,,
N   2,6,4287.5,4300,4350,4400,4450,4500,,,,,,,,,,,,
N   3,6,3523.65,3523.65,3523.65,3523.65,3523.65,3523.65,,,,,,,,,,,,
N   4,6,3790.5,3600,3790.5,3800,3790.5,3790.5,,,,,,,,,,,,
N   5,6,5417.13,5450,5500,5600,5700,5800,,,,,,,,,,,,
N   6,6,4092.63,4092.63,4092.63,4092.63,4092.63,4092.63,,,,,,,,,,,,
N   7,6,5224.45,5319.91,5415.14,5510.14,5604.91,5699.45,,,,,,,,,,,,
N   8,6,7993.98,8500,9000,9500,10000,10500,,,,,,,,,,,,
N   9,6,5347.2,5442.2,5474.97,5486.28,5490.18,5491.52,,,,,,,,,,,,
N  10,6,9912.45,10180.81,10426.37,10651.05,10856.64,11044.75,,,,,,,,,,,,
N  11,6,4605.82,4884.53,5162.11,5438.58,5713.93,5988.17,,,,,,,,,,,,
N  12,6,4773.94,5076.2,5385.58,5702.09,6025.73,6356.51,,,,,,,,,,,,
N  13,6,6383.35,6768.95,7125.63,7455.56,7760.75,8043.04,,,,,,,,,,,,
N  14,6,3300,3200,3100,3000,2900,2800,,,,,,,,,,,,
N  15,6,5151.3,5352.17,5552.38,5751.91,5950.78,6148.98,,,,,,,,,,,,
N  16,6,5937.33,5972.42,5995.76,6011.28,6021.6,6028.46,,,,,,,,,,,,
N  17,6,6016.51,6100.49,6187.61,6200,6300,6400,,,,,,,,,,,,
N  18,6,8041.03,8187.68,8333.97,8479.92,8625.52,8770.76,,,,,,,,,,,,
N  19,6,5807.5,5913.03,6012.23,6105.48,6193.14,6275.53,,,,,,,,,,,,
N  20,6,10830.37,11711.37,12552.72,13356.21,14123.54,14856.34,,,,,,,,,,,,
N  21,6,9389.19,9706.52,9996.88,10262.56,10505.65,10728.08,,,,,,,,,,,,
N  22,6,4790.1,5100,5300,5600,5900,6200,,,,,,,,,,,,
N  23,6,3320.28,3312.76,3400,3500,3600,3700,,,,,,,,,,,,
N  24,6,6455.85,6914.82,7357.72,7785.13,8197.57,8595.58,,,,,,,,,,,,
N  25,6,4756.6,4959.37,5161.43,5362.79,5563.43,5763.38,,,,,,,,,,,,
N  26,6,8163.5,8627.1,9063.01,9473.32,9859.94,10224.65,,,,,,,,,,,,
N  27,6,2887.34,3019.22,3150.77,3281.98,3412.85,3543.39,,,,,,,,,,,,
N  28,6,10945.52,11731.29,12539.51,13370.18,14223.31,15098.91,,,,,,,,,,,,
N  29,6,4983.89,4985.54,5029.21,5097.46,5180.09,5271.12,,,,,,,,,,,,
N  30,6,5731.29,5953.82,6166.34,6369.29,6563.11,6748.21,,,,,,,,,,,,
N  31,6,6854.15,7332.74,7794.58,8240.26,8670.33,9085.36,,,,,,,,,,,,
N  32,6,5168.27,5466.4,5771.2,6082.68,6600,6800,,,,,,,,,,,,
N  33,6,3490.62,3537.27,3555.23,3562.15,3564.81,3565.84,,,,,,,,,,,,
N  34,6,7671,7671,7671,7671,7671,7671,,,,,,,,,,,,
N  35,6,3967.34,3967.34,3967.34,3967.34,3967.34,3967.34,,,,,,,,,,,,
N  36,6,3373.44,3792.02,4195.96,4585.75,4961.9,5324.89,,,,,,,,,,,,
N  37,6,1448.67,1549.62,1653.72,1760.98,1871.39,1984.96,,,,,,,,,,,,
N  38,6,7680.71,8148.91,8631.18,9127.53,9637.97,10162.5,,,,,,,,,,,,
N  39,6,3620.08,4042,4200,4400,4600,4800,,,,,,,,,,,,
N  40,6,2753.83,3180.03,3600,3900,4200,4500,,,,,,,,,,,,
N  41,6,4790.5,5010.43,5229.64,5448.15,5665.97,5883.08,,,,,,,,,,,,
N  42,6,3706.88,3954.26,4208.45,4469.46,4700,4900,,,,,,,,,,,,
N  43,6,8341.68,9064.04,9725,10329.78,10883.16,11389.5,,,,,,,,,,,,
N  44,6,4686.03,4796.21,4904.47,5010.88,5115.51,5218.41,,,,,,,,,,,,
N  45,6,4897.37,5032.43,5156.76,5272.02,5379.61,5480.73,,,,,,,,,,,,
N  46,6,5159.23,5372.84,5590.98,5813.66,6040.88,6272.64,,,,,,,,,,,,
N  47,6,4224.02,4300,4400,4500,4600,4700,,,,,,,,,,,,
N  48,6,3978.14,4291.68,4612.8,4941.49,5277.77,5621.63,,,,,,,,,,,,
N  49,6,5933.41,6100,6300,6500,6700,6900,,,,,,,,,,,,
N  50,6,4778.83,4778.83,4778.83,4778.83,4778.83,4778.83,,,,,,,,,,,,
N  51,6,5123.57,5123.57,5123.57,5123.57,5123.57,5123.57,,,,,,,,,,,,
N  52,6,6407.16,6790.02,7125.01,7418.13,7674.62,7899.04,,,,,,,,,,,,
N  53,6,7283.74,7589.9,7895.14,8199.44,8502.82,8805.28,,,,,,,,,,,,
N  54,6,5996.31,5998.53,5999.98,6000.93,6100,6200,,,,,,,,,,,,
N  55,6,3126.37,3130,3150,3200,3300,3400,,,,,,,,,,,,
N  56,6,5021.55,5138.98,5230.07,5306.82,5375.74,5440.39,,,,,,,,,,,,
N  57,6,3640.55,3793.95,3950.48,4110.14,4272.94,4438.87,,,,,,,,,,,,
N  58,6,4532.51,4746.34,4959.1,5170.8,5381.43,5591.02,,,,,,,,,,,,
N  59,6,4626.78,4621.07,4614.13,4603.42,4588.08,4567.8,,,,,,,,,,,,
N  60,6,6700,6791.33,6569.21,6564.24,6700,6791.33,,,,,,,,,,,,
N  61,6,8093.16,8343.73,8593.7,8843.06,9091.82,9339.98,,,,,,,,,,,,
N  62,6,6105.05,6369.27,6624.96,6872.53,7112.32,7344.7,,,,,,,,,,,,
N  63,6,4884.92,5079.87,5274.16,5467.79,5660.78,5853.11,,,,,,,,,,,,
N  64,6,2700,2800,2900,3000,3100,3200,,,,,,,,,,,,
N  65,6,5282.96,5738.49,6191.75,6642.74,7091.47,7537.97,,,,,,,,,,,,
N  66,6,5850.8,6020.12,6151.14,6248.19,6314.94,6354.5,,,,,,,,,,,,
N  67,6,4227.76,4200,4225,4225,4225,4225,,,,,,,,,,,,
N  68,6,6023.67,6023.67,6023.67,6023.67,6023.67,6023.67,,,,,,,,,,,,
N  69,6,4601.05,4601.02,4601.02,4601.01,4601.01,4601.01,,,,,,,,,,,,
N  70,6,3658.45,3726.24,3793.11,3859.09,3924.2,3988.47,,,,,,,,,,,,
N  71,6,6795.18,7019.69,7243.66,7467.09,7689.98,7912.33,,,,,,,,,,,,
N  72,6,7542.27,7614.24,7670.38,7714.17,7748.32,7774.96,,,,,,,,,,,,
N  73,6,7497.49,7700,7900,8100,8200,8300,,,,,,,,,,,,
N  74,6,4200,4300,4400,4600,4800,5000,,,,,,,,,,,,
N  75,6,5894.96,6256.77,6626.25,7003.48,7388.51,7781.44,,,,,,,,,,,,
N  76,6,4290.59,4525.08,4736.11,4926.05,5096.98,5250.83,,,,,,,,,,,,
N  77,6,4539,4682.14,4807.39,4916.98,5012.87,5096.77,,,,,,,,,,,,
N  78,6,5373.11,5559.77,5745.85,5931.35,6116.28,6200,,,,,,,,,,,,
N  79,6,7500,7300,7200,7100,7000,6900,,,,,,,,,,,,
N  80,6,5859.31,5859.31,5859.31,5859.31,5859.31,5859.31,,,,,,,,,,,,
N  81,6,8864.22,8833.69,8811.87,8796.26,8785.1,8777.12,,,,,,,,,,,,
N  82,6,3177.69,3243.19,3308.53,3373.71,3438.73,3503.6,,,,,,,,,,,,
N  83,6,3094.77,3094.77,3094.77,3094.77,3094.77,3094.77,,,,,,,,,,,,
N  84,6,5617.04,6066.97,6501.16,6920.15,7324.47,7714.64,,,,,,,,,,,,
N  85,6,6575.85,6767.61,6943.06,7103.6,7250.5,7384.91,,,,,,,,,,,,
N  86,6,7108.43,7782.24,8464.31,9154.66,9853.3,10560.25,,,,,,,,,,,,
N  87,6,2534.87,2600,2700,2800,2900,3000,,,,,,,,,,,,
N  88,6,3521.22,3680.57,3843.98,4011.42,4182.91,4300,,,,,,,,,,,,
N  89,6,5567.39,5739.07,5893.19,6029.75,6148.75,6250.2,,,,,,,,,,,,
N  90,6,7858.81,8067.55,8275.66,8483.16,8690.03,8896.29,,,,,,,,,,,,
N  91,6,3519.77,3652.2,3786.96,3924.04,4063.47,4205.23,,,,,,,,,,,,
N  92,6,3900,4000,4100,4200,4250,4300,,,,,,,,,,,,
N  93,6,3706.5,3911.49,4115.7,4319.34,4522.63,4725.77,,,,,,,,,,,,
N  94,6,9064.83,9816.83,10590.11,11384.67,12200.54,13037.73,,,,,,,,,,,,
N  95,6,2877.36,2889.68,2901.92,2914.13,2926.34,2938.55,,,,,,,,,,,,
N  96,6,7443.81,7515.28,7551.37,7569.59,7578.79,7583.44,,,,,,,,,,,,
N  97,6,4120.75,4112.13,4107.77,4105.57,4104.46,4103.9,,,,,,,,,,,,
N  98,6,2538.64,2594.73,2650.68,2706.49,2762.18,2817.72,,,,,,,,,,,,
N  99,6,3784.41,3751.34,3730.51,3717.38,3709.12,3703.91,,,,,,,,,,,,
N 100,6,2289.5,2289.5,2289.5,2289.5,2289.5,2289.5,,,,,,,,,,,,
N 101,6,5780.99,5790.47,5792.03,5792.29,5792.33,5792.34,,,,,,,,,,,,
N 102,6,2069.03,2100,2100,2150,2095.11,2150,,,,,,,,,,,,
N 103,6,4313.87,4010.87,3833.61,3729.92,3669.26,3633.77,,,,,,,,,,,,
N 104,6,4183.93,4226.01,4265.82,4305.18,4344.46,4383.71,,,,,,,,,,,,
N 105,6,7281.27,7363.41,7445.36,7527.1,7608.65,7690,,,,,,,,,,,,
N 106,6,4401.2,4444.14,4486.97,4529.7,4572.33,4614.85,,,,,,,,,,,,
N 107,6,1175.64,1107.6,1038.79,1000,1000,950,,,,,,,,,,,,
N 108,6,5369.8,5369.8,5369.8,5369.8,5369.8,5369.8,,,,,,,,,,,,
N 109,6,3800.91,3750,3700,3650,3600,3550,,,,,,,,,,,,
N 110,6,5041.35,5108.01,5169,5224.81,5275.88,5322.6,,,,,,,,,,,,
N 111,6,8743.52,8800.76,8858.69,8916.85,8975.07,9033.32,,,,,,,,,,,,
N 112,6,7665.88,8064.79,8471.18,8885.28,9307.29,9737.44,,,,,,,,,,,,
N 113,6,23367.11,26924.2,30592.33,34371.55,38261.94,42263.53,,,,,,,,,,,,
N 114,6,3493.42,3747.3,4006.99,4272.49,4543.82,4820.97,,,,,,,,,,,,
N 115,6,2760.03,3120.69,3479.56,3836.63,4191.92,4545.43,,,,,,,,,,,,
N 116,6,4832.2,4832.2,4832.2,4832.2,4832.2,4832.2,,,,,,,,,,,,
N 117,6,8054.58,8528.4,9014.52,9512.94,10023.67,10546.71,,,,,,,,,,,,
N 118,6,4330.67,4330.67,4330.67,4330.67,4330.67,4330.67,,,,,,,,,,,,
N 119,6,6568.08,6586.37,6604.64,6622.91,6641.18,6659.45,,,,,,,,,,,,
N 120,6,6238.93,6846.22,7464.84,8094.8,8736.11,9388.79,,,,,,,,,,,,
N 121,6,2882.32,2940.31,3000.31,3062.34,3126.39,3192.46,,,,,,,,,,,,
N 122,6,7790.03,7900,8000,8150,8200,8250,,,,,,,,,,,,
N 123,6,5224.06,5224.06,5224.06,5224.06,5224.06,5224.06,,,,,,,,,,,,
N 124,6,5807.91,6114.78,6432.01,6759.6,7097.54,7445.86,,,,,,,,,,,,
N 125,6,3756.44,3756.44,3756.44,3756.44,3756.44,3756.44,,,,,,,,,,,,
N 126,6,3783.86,3833.31,3884.63,3937.23,3990.7,4044.78,,,,,,,,,,,,
N 127,6,5964.81,6059.3,6104.18,6125.5,6135.63,6140.44,,,,,,,,,,,,
N 128,6,6509.63,6804.25,7088.9,7364.03,7630.08,7887.45,,,,,,,,,,,,
