N   1,6,5259,5675,6091,6507,6923,7340,,,,,,,,,,,,
N   2,6,4729.55,4831.82,5085.45,5303.64,5434.55,5630.91,,,,,,,,,,,,
N   3,6,3922.73,4536.36,4734.09,4959.09,5122.73,5286.36,,,,,,,,,,,,
N   4,6,5108,5367,5626,5886,6145,6405,,,,,,,,,,,,
N   5,6,4994,4921,4848,4776,4703,4630,,,,,,,,,,,,
N   6,6,4399,4574,4748,4922,5097,5271,,,,,,,,,,,,
N   7,6,5428,5613,5798,5983,6168,6353,,,,,,,,,,,,
N   8,6,8904,9650,10397,11144,11891,12637,,,,,,,,,,,,
N   9,6,4600,4600,4600,4600,4600,4600,,,,,,,,,,,,
N  10,6,10458,11062,11666,12271,12875,13479,,,,,,,,,,,,
N  11,6,5503,5784,6064,6344,6625,6905,,,,,,,,,,,,
N  12,6,5382,5784,6185,6587,6988,7390,,,,,,,,,,,,
N  13,6,6183,6538,6893,7249,7604,7959,,,,,,,,,,,,
N  14,6,2171,2109,2047,1985,1923,1861,,,,,,,,,,,,
N  15,6,5525,5802,6081,6358,6635,6912,,,,,,,,,,,,
N  16,6,5876,5876,5876,5876,5876,5876,,,,,,,,,,,,
N  17,6,6099,6428,6719,7010,7302,7592,,,,,,,,,,,,
N  18,6,7265,7530,7795,8060,8325,8591,,,,,,,,,,,,
N  19,6,5927,6085,6204,6322,6500,6579,,,,,,,,,,,,
N  20,6,11137,12233,13329,14425,15521,16617,,,,,,,,,,,,
N  21,6,9672,10194,10717,11239,11762,12284,,,,,,,,,,,,
N  22,6,5241,5531,5823,6113,6403,6693,,,,,,,,,,,,
N  23,6,3358,3358,3358,3358,3358,3358,,,,,,,,,,,,
N  24,6,6278,6639,7000,7361,7722,8083,,,,,,,,,,,,
N  25,6,5051,5298,5547,5795,6044,6292,,,,,,,,,,,,
N  26,6,8887,9310,9735,10158,10581,11006,,,,,,,,,,,,
N  27,6,3269,3495,3721,3946,4173,4399,,,,,,,,,,,,
N  28,6,12984,14677,16371,18064,19758,21451,,,,,,,,,,,,
N  29,6,7451,7910,8370,8829,9287,9747,,,,,,,,,,,,
N  30,6,5792,6028,6264,6500,6736,6971,,,,,,,,,,,,
N  31,6,6655,7040,7425,7810,8195,8580,,,,,,,,,,,,
N  32,6,5463,5722,5980,6239,6497,6756,,,,,,,,,,,,
N  33,6,3161,3215,3269,3323,3377,3432,,,,,,,,,,,,
N  34,6,7826,7826,7826,7826,7826,7826,,,,,,,,,,,,
N  35,6,4122.73,4300,4545.45,4688.64,4852.27,4954.55,,,,,,,,,,,,
N  36,6,3381,3811,4241,4671,5101,5531,,,,,,,,,,,,
N  37,6,1881,1926,2007,2104,2207,2304,,,,,,,,,,,,
N  38,6,8591,9435,10279,11123,11967,12810,,,,,,,,,,,,
N  39,6,3423,3681,3939,4197,4456,4714,,,,,,,,,,,,
N  40,6,2985,3541,4097,4654,5210,5766,,,,,,,,,,,,
N  41,6,5139,5467,5794,6121,6449,6776,,,,,,,,,,,,
N  42,6,3928,4197,4466,4735,5003,5273,,,,,,,,,,,,
N  43,6,8379,9216,10053,10889,11726,12563,,,,,,,,,,,,
N  44,6,4901,5117,5333,5549,5766,5982,,,,,,,,,,,,
N  45,6,5467,5559,5652,5755,6010,6265,,,,,,,,,,,,
N  46,6,5628,5806,5986,6164,6343,6523,,,,,,,,,,,,
N  47,6,4912,5517,6068,6316,6564,6812,,,,,,,,,,,,
